"","asv_code","kingdom","supergroup","division","class","order","family","genus","species","casv_code","PR2_matches","biogeo","taxon_level","trophic_mode"
"73","e89234e684","Eukaryota","Archaeplastida","Chlorophyta","Pyramimonadophyceae","Pyramimonadales","Pyramimonadales_X","Pyramimonadales_XX","Pyramimonadales_XX_sp.","2e28b38d89","  3","Polar","order","mixotrophic"
"74","04a2f4fad6","Eukaryota","Stramenopiles","Ochrophyta","Chrysophyceae","Chrysophyceae_X","Chrysophyceae_Clade-C","Chrysophyceae_Clade-C_X","Chrysophyceae_Clade-C_X_sp.","462aab2eef","  0","Polar","class","mixotrophic"
"75","a5a8a53534","Eukaryota","Archaeplastida","Chlorophyta","Chlorophyceae","Chlamydomonadales","Chlamydomonadales_X","Carteria","Carteria_sp.","fffab57b56","  1","Polar","order","photosynthetic"
"76","2f4aac3fa6","Eukaryota","Hacrobia","Haptophyta","Prymnesiophyceae","Prymnesiales","Chrysochromulinaceae","Chrysochromulina","Chrysochromulina_leadbeateri","efda848856","  1","Polar","species","mixotrophic"
"77","6eaa6eb04a","Eukaryota","Hacrobia","Telonemia","Telonemia_X","Telonemia_XX","Telonemia-Group-2","Telonemia-Group-2_X","Telonemia-Group-2_X_sp.","c72ea9698f","  0","Polar-Temperate","class","heterotrophic"
"78","1856fbb5b2","Eukaryota","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-II","Dino-Group-II-Clade-10-and-11","Dino-Group-II-Clade-10-and-11_X","Dino-Group-II-Clade-10-and-11_X_sp.","7fbd6b6678","  0","Cosmopolitan","class","heterotrophic"
"79","c816613446","Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Amphora","Amphora_coffeaeformis","c816613446","  0","Unallocated","class","photosynthetic"
"80","958a730617","Eukaryota","Archaeplastida","Chlorophyta","Pyramimonadophyceae","Pyramimonadales","Pyramimonadaceae","Pyramimonas","Pyramimonas_gelidicola","aef00f7375","  5","Polar","species","mixotrophic"
"81","31ac335c5a","Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Stauroneis","Stauroneis_kriegeri","4ace941e16","  0","Polar","class","photosynthetic"
"82","d4cf334841","Eukaryota","Stramenopiles","Ochrophyta","Chrysophyceae","Chrysophyceae_X","Chrysophyceae_Clade-C","Dinobryon","Dinobryon_faculiferum","79053f28fb","  2","Polar","species","mixotrophic"
"83","dab2d1c9ef","Eukaryota","Alveolata","Dinoflagellata","Dinophyceae","Suessiales","Suessiaceae","Polarella","Polarella_glacialis","30bd5bb432","  4","Polar-Temperate","order","dinoflagellata"
"84","85a5d3c370","Eukaryota","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-II","Dino-Group-II-Clade-10-and-11","Dino-Group-II-Clade-10-and-11_X","Dino-Group-II-Clade-10-and-11_X_sp.","3e38dcc15e","  0","Polar-Temperate","class","heterotrophic"
"85","88a97f5967","Eukaryota","Alveolata","Dinoflagellata","Dinophyceae","Gymnodiniales","Gymnodiniaceae","Gyrodinium","Gyrodinium_fusiforme","6fec849e3d","  0","Cosmopolitan","species","heterotrophic"
"86","0e7e45f116","Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Naviculales","Naviculales_sp.","256de3a986","  0","Unallocated","class","photosynthetic"
"87","c69e8e07e3","Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Raphid-pennate_X","Raphid-pennate_X_sp.","ff452c05c1","  0","Polar","class","photosynthetic"
"88","b9a1893824","Eukaryota","Alveolata","Dinoflagellata","Dinophyceae","Dinophyceae_X","Dinophyceae_XX","Dinophyceae_XXX","Dinophyceae_XXX_sp.","97e6e473ca","  0","Polar-Temperate","class","dinoflagellata"
"89","6799cd61c5","Eukaryota","Stramenopiles","Ochrophyta","Dictyochophyceae","Dictyochophyceae_X","Florenciellales","Florenciellales_X","Florenciellales_X_sp.","11feec78d3","  0","Polar","class","photosynthetic"
"90","decc39f4fe","Eukaryota","Stramenopiles","Stramenopiles_X","Stramenopiles_XX","Stramenopiles_XXX","Stramenopiles_XXXX","Stramenopiles_XXXXX","Stramenopiles_XXXXX_sp.","64aced6c16","  0","Polar-Temperate","class","heterotrophic"
