"","casv_code","Arctic","N_Temperate","S_Temperate","Antarctic","Tropical","n","Arctic_pct","N_Temperate_pct","Tropical_pct","S_Temperate_pct","Antarctic_pct","Temperate_pct","Polar_pct","biogeo"
"71","0155b79e90",0,5,0,0,0,5,0,1,0,0,0,1,0,"Temperate"
"72","0156a1b162",0,7,0,0,0,7,0,1,0,0,0,1,0,"Temperate"
"73","0162a3e4a7",0,8,0,0,0,8,0,1,0,0,0,1,0,"Temperate"
"74","016332243d",0,8,0,0,0,8,0,1,0,0,0,1,0,"Temperate"
"75","016599ccdd",0,0,0,0,7,7,0,0,1,0,0,0,0,"Tropical"
"76","016667e89b",0,15,0,0,0,15,0,1,0,0,0,1,0,"Temperate"
"77","016fa90f71",0,5,5,0,10,20,0,0.25,0.5,0.25,0,0.5,0,"Temperate-Tropical"
"78","0171e83db4",0,25,74,0,86,185,0,0.135135135135135,0.464864864864865,0.4,0,0.535135135135135,0,"Temperate-Tropical"
"79","01757f0d5e",0,6,0,0,0,6,0,1,0,0,0,1,0,"Temperate"
"80","0177ff8689",8,0,0,0,0,8,1,0,0,0,0,0,1,"Polar"
"81","0179805b95",0,0,12,0,0,12,0,0,0,1,0,1,0,"Temperate"
"82","0183195a1f",0,0,7,6,0,13,0,0,0,0.538461538461538,0.461538461538462,0.538461538461538,0.461538461538462,"Polar-Temperate"
"83","0186765cc3",44,0,5,0,6,55,0.8,0,0.109090909090909,0.0909090909090909,0,0.0909090909090909,0.8,"Cosmopolitan"
"84","018a9ff141",0,5,0,0,6,11,0,0.454545454545455,0.545454545454545,0,0,0.454545454545455,0,"Temperate-Tropical"
"85","01950470c8",31,0,0,0,0,31,1,0,0,0,0,0,1,"Polar"
"86","01979dfe78",0,0,27,0,8,35,0,0,0.228571428571429,0.771428571428571,0,0.771428571428571,0,"Temperate-Tropical"
"87","01996da926",0,15,18,0,20,53,0,0.283018867924528,0.377358490566038,0.339622641509434,0,0.622641509433962,0,"Temperate-Tropical"
"88","019d818d46",26,0,17,0,0,43,0.604651162790698,0,0,0.395348837209302,0,0.395348837209302,0.604651162790698,"Polar-Temperate"
"89","01aacb2f0c",0,11,33,0,67,111,0,0.0990990990990991,0.603603603603604,0.297297297297297,0,0.396396396396396,0,"Temperate-Tropical"
"90","01abe70aab",0,0,0,0,23,23,0,0,1,0,0,0,0,"Tropical"
"91","01ad421a9b",0,7,0,0,0,7,0,1,0,0,0,1,0,"Temperate"
"92","01ae231f25",0,0,0,0,10,10,0,0,1,0,0,0,0,"Tropical"
"93","01b319dbb0",0,12,0,0,0,12,0,1,0,0,0,1,0,"Temperate"
"94","01b336f3a5",0,0,0,0,13,13,0,0,1,0,0,0,0,"Tropical"
"95","01b3563dbe",5,13,14,0,27,59,0.0847457627118644,0.220338983050847,0.457627118644068,0.23728813559322,0,0.457627118644068,0.0847457627118644,"Cosmopolitan"
"96","01ba94c42e",0,8,11,0,5,24,0,0.333333333333333,0.208333333333333,0.458333333333333,0,0.791666666666667,0,"Temperate-Tropical"
"97","01bb24bb06",55,35,0,0,0,90,0.611111111111111,0.388888888888889,0,0,0,0.388888888888889,0.611111111111111,"Polar-Temperate"
"98","01c72fcc5f",5,28,0,0,0,33,0.151515151515152,0.848484848484849,0,0,0,0.848484848484849,0.151515151515152,"Polar-Temperate"
"99","01c7a797e5",0,0,0,5,0,5,0,0,0,0,1,0,1,"Polar"
"100","01cb0ef9c7",0,0,41,43,0,84,0,0,0,0.488095238095238,0.511904761904762,0.488095238095238,0.511904761904762,"Polar-Temperate"
"101","01d3442815",0,0,0,0,24,24,0,0,1,0,0,0,0,"Tropical"
"102","01de34fd2a",0,22,33,0,56,111,0,0.198198198198198,0.504504504504504,0.297297297297297,0,0.495495495495496,0,"Temperate-Tropical"
"103","01e227c82f",0,0,9,7,0,16,0,0,0,0.5625,0.4375,0.5625,0.4375,"Polar-Temperate"
"104","01e294a191",0,0,0,0,8,8,0,0,1,0,0,0,0,"Tropical"
"105","01e908d44f",5,0,0,0,0,5,1,0,0,0,0,0,1,"Polar"
"106","01eae92706",14,7,5,0,0,26,0.538461538461538,0.269230769230769,0,0.192307692307692,0,0.461538461538462,0.538461538461538,"Polar-Temperate"
"107","01ec325499",30,0,0,0,0,30,1,0,0,0,0,0,1,"Polar"
"108","01f831c8e6",0,9,0,0,0,9,0,1,0,0,0,1,0,"Temperate"
"109","0200a9ced4",52,18,8,0,0,78,0.666666666666667,0.230769230769231,0,0.102564102564103,0,0.333333333333333,0.666666666666667,"Polar-Temperate"
"110","020b19a35d",0,6,0,0,0,6,0,1,0,0,0,1,0,"Temperate"
"111","020b648ccb",0,5,0,0,0,5,0,1,0,0,0,1,0,"Temperate"
"112","020da34d83",0,0,14,0,35,49,0,0,0.714285714285714,0.285714285714286,0,0.285714285714286,0,"Temperate-Tropical"
"113","021613c032",0,0,0,0,14,14,0,0,1,0,0,0,0,"Tropical"
"114","0218c2812e",0,8,0,0,0,8,0,1,0,0,0,1,0,"Temperate"
"115","021be01204",0,0,7,0,0,7,0,0,0,1,0,1,0,"Temperate"
"116","021d0615a4",0,5,0,0,0,5,0,1,0,0,0,1,0,"Temperate"
"117","021dc7793a",0,9,0,0,0,9,0,1,0,0,0,1,0,"Temperate"
"118","021f1a2ae4",10,0,0,0,0,10,1,0,0,0,0,0,1,"Polar"
"119","022334b9d6",0,7,12,0,20,39,0,0.179487179487179,0.512820512820513,0.307692307692308,0,0.487179487179487,0,"Temperate-Tropical"
"120","02306390ba",5,0,30,20,0,55,0.0909090909090909,0,0,0.545454545454545,0.363636363636364,0.545454545454545,0.454545454545455,"Polar-Temperate"
