"","asv_code","casv_code","Arctic","N_Temperate","S_Temperate","Antarctic","Tropical","n","Arctic_pct","N_Temperate_pct","Tropical_pct","S_Temperate_pct","Antarctic_pct","Temperate_pct","Polar_pct","biogeo"
"198","f8ee116ee9","3f2d39ca6e",20,10,37,0,0,67,0.298507462686567,0.149253731343284,0,0.552238805970149,0,0.701492537313433,0.298507462686567,"Polar-Temperate"
"199","d4fda48c33","948f3cc8ba",35,11,0,0,0,46,0.760869565217391,0.239130434782609,0,0,0,0.239130434782609,0.760869565217391,"Polar-Temperate"
"201","4bf5b982fd","e558ac3fee",30,106,140,0,83,359,0.0835654596100279,0.295264623955432,0.231197771587744,0.389972144846797,0,0.685236768802228,0.0835654596100279,"Cosmopolitan"
"203","d12848ed79","4c43ea5bb7",16,0,10,0,0,26,0.615384615384615,0,0,0.384615384615385,0,0.384615384615385,0.615384615384615,"Polar-Temperate"
"204","1952de8712","2c0285f831",7,0,0,0,0,7,1,0,0,0,0,0,1,"Polar"
"206","b06d9b6ce2","6f1cde901f",24,0,0,0,0,24,1,0,0,0,0,0,1,"Polar"
"207","48e81d97ae","4442f1e991",19,6,6,0,0,31,0.612903225806452,0.193548387096774,0,0.193548387096774,0,0.387096774193548,0.612903225806452,"Polar-Temperate"
"208","1d930f32e6","92bf594c61",71,0,0,0,0,71,1,0,0,0,0,0,1,"Polar"
"209","d98e2653cf","4174aaed2e",13,0,0,0,0,13,1,0,0,0,0,0,1,"Polar"
"212","00a2ea8c4f","6bec646778",12,0,0,0,0,12,1,0,0,0,0,0,1,"Polar"
"214","a883ebda1e","a551502d2d",10,0,0,0,0,10,1,0,0,0,0,0,1,"Polar"
"215","d4cf334841","79053f28fb",49,0,0,0,0,49,1,0,0,0,0,0,1,"Polar"
"216","2b175f4728","eba24a23e2",17,15,38,0,0,70,0.242857142857143,0.214285714285714,0,0.542857142857143,0,0.757142857142857,0.242857142857143,"Polar-Temperate"
"217","0be36272ba","1f433dff65",9,0,0,0,0,9,1,0,0,0,0,0,1,"Polar"
"218","ee033cbb20","3757937cb1",42,8,64,61,0,175,0.24,0.0457142857142857,0,0.365714285714286,0.348571428571429,0.411428571428571,0.588571428571429,"Polar-Temperate"
"228","25aef9ce91","428c923de1",11,0,0,0,0,11,1,0,0,0,0,0,1,"Polar"
"229","a510639a21","e0b0bdad4f",33,10,43,42,0,128,0.2578125,0.078125,0,0.3359375,0.328125,0.4140625,0.5859375,"Polar-Temperate"
"230","c3170253ec","2c2a76415d",13,15,0,0,0,28,0.464285714285714,0.535714285714286,0,0,0,0.535714285714286,0.464285714285714,"Polar-Temperate"
"231","13cf31939e","72784b93ea",23,10,0,0,0,33,0.696969696969697,0.303030303030303,0,0,0,0.303030303030303,0.696969696969697,"Polar-Temperate"
"232","b9ee1ec540","33bf67d011",11,0,0,0,0,11,1,0,0,0,0,0,1,"Polar"
"233","fe213a3d82","2bf92a5c03",37,0,0,0,0,37,1,0,0,0,0,0,1,"Polar"
"234","023ccf8f55","df88fad537",22,0,0,0,0,22,1,0,0,0,0,0,1,"Polar"
"235","28eca2e583","38e05843d3",8,5,0,0,0,13,0.615384615384615,0.384615384615385,0,0,0,0.384615384615385,0.615384615384615,"Polar-Temperate"
"237","e4f26a6d07","4867915ef3",9,0,0,0,0,9,1,0,0,0,0,0,1,"Polar"
"239","11491dee67","768ec213f8",74,12,0,0,0,86,0.86046511627907,0.13953488372093,0,0,0,0.13953488372093,0.86046511627907,"Polar-Temperate"
"240","b528f67bc7","978dde4417",13,0,0,0,0,13,1,0,0,0,0,0,1,"Polar"
"241","e6a4e863a9","006406c1be",12,11,0,0,0,23,0.521739130434783,0.478260869565217,0,0,0,0.478260869565217,0.521739130434783,"Polar-Temperate"
"242","94ca4c6978","2b85d1a247",30,0,0,0,0,30,1,0,0,0,0,0,1,"Polar"
"243","a0cc2852b7","5a7a933172",32,0,22,15,0,69,0.463768115942029,0,0,0.318840579710145,0.217391304347826,0.318840579710145,0.681159420289855,"Polar-Temperate"
